workers	throughput (succXact/s)	latency (s)	succRatio	customerXactRatio
2	28.7257	2.0949	1.0	0.85
2	31.4281	1.9123	1.0	0.80
2	31.6338	1.8980	1.0	0.82
4	59.6614	2.0140	1.0	0.83
4	65.9829	1.8226	1.0	0.79
4	61.8100	1.9486	1.0	0.85
6	93.7409	1.9417	1.0	0.81
6	92.1887	1.9548	1.0	0.78
6	90.9345	1.9981	1.0	0.77
8	102.2635	2.3603	1.0	0.78
8	88.3375	2.7279	1.0	0.80
8	90.8956	2.6466	1.0	0.80
10	84.6169	3.5499	1.0	0.78
10	72.1851	4.1574	1.0	0.84
10	66.6472	4.5105	1.0	0.81
12	57.1896	6.2983	1.0	0.80
12	49.7696	7.2373	1.0	0.81
12	69.5267	5.1944	1.0	0.80
14	114.0111	3.6961	1.0	0.80
14	108.7776	3.8741	1.0	0.82
14	108.8745	3.8776	1.0	0.81
